Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
419,50,RL,8160,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1940,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,ALQ,312,Unf,0,444,GasA,Fa,N,FuseF,756,378,0,1134,1,0,1,1,3,1,TA,7,Typ,0,None,Detchd,29,Unf,1,TA,TA,P,0,0,0,0,0,0,0,None,None,0,4,2007,WD,AdjLand,126000
421,90,RM,7060,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,Gable,CompShg,VinylSd,VinylSd,200,TA,Gd,PConc,Gd,Gd,Gd,GLQ,1309,Unf,0,35,GasA,Ex,Y,SBrkr,1344,0,0,1344,2,0,2,0,2,2,TA,8,Typ,0,None,Attchd,84,Fin,4,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,11,2008,WD,Alloca,206300
422,20,RL,16635,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,Gable,CompShg,CemntBd,CmentBd,126,Gd,TA,CBlock,Gd,TA,No,ALQ,1246,Unf,0,356,GasA,Gd,Y,SBrkr,1602,0,0,1602,0,1,2,0,3,1,Gd,8,Typ,1,TA,Attchd,64,Fin,2,TA,TA,Y,240,0,0,0,0,0,0,None,None,0,6,2009,WD,Normal,215000
423,20,RL,21750,Pave,None,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,Hip,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,988,GasA,Ex,Y,FuseA,988,0,0,988,0,0,1,0,2,1,TA,4,Typ,0,None,Attchd,41,RFn,2,TA,TA,N,0,0,0,0,0,0,0,None,None,0,2,2008,WD,Normal,113000
424,60,RL,9200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,Gable,CompShg,VinylSd,VinylSd,473,Gd,TA,PConc,Gd,TA,No,GLQ,986,Unf,0,484,GasA,Gd,Y,SBrkr,1470,1160,0,2630,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,85,Fin,3,TA,TA,Y,0,66,0,0,0,0,0,None,None,0,6,2008,WD,Normal,315000
425,20,RL,9000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,Gable,CompShg,Wd Sdng,Wd Sdng,74,TA,TA,CBlock,Gd,TA,No,LwQ,616,Unf,0,580,GasA,Gd,Y,FuseA,1196,0,0,1196,1,0,1,0,2,1,TA,6,Typ,1,Gd,Attchd,43,RFn,1,TA,TA,Y,0,44,0,0,0,0,0,None,None,0,5,2008,WD,Normal,139000
426,60,RM,3378,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,Gable,CompShg,HdBoard,HdBoard,0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,651,GasA,Gd,Y,SBrkr,707,682,0,1389,0,0,1,1,3,1,TA,6,Typ,2,Gd,Detchd,34,Unf,1,TA,TA,P,0,0,126,0,0,0,0,None,None,0,9,2009,WD,Normal,135000
428,20,RL,8593,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,Hip,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,Rec,288,Unf,0,619,GasA,Ex,Y,SBrkr,907,0,0,907,0,0,1,0,3,1,TA,5,Typ,0,None,Detchd,51,Unf,1,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,7,2008,WD,Normal,109008
429,20,RL,6762,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,108,Gd,TA,PConc,Gd,TA,No,GLQ,664,Unf,0,544,GasA,Ex,Y,SBrkr,1208,0,0,1208,1,0,2,0,2,1,Gd,6,Typ,0,None,Attchd,94,RFn,2,TA,TA,Y,105,54,0,0,0,0,0,None,None,0,9,2007,New,Partial,195400
431,160,RM,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,HdBoard,232,TA,TA,CBlock,TA,TA,No,ALQ,387,Unf,0,96,GasA,TA,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,4,Typ,0,None,Detchd,58,Unf,1,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,7,2008,COD,Abnorml,85400
433,160,RM,1920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,Gable,CompShg,HdBoard,HdBoard,376,TA,TA,CBlock,TA,TA,No,ALQ,471,Unf,0,294,GasA,Ex,Y,SBrkr,765,600,0,1365,1,0,1,1,2,1,TA,6,Min1,0,None,Detchd,58,Unf,2,TA,TA,Y,240,36,0,0,0,0,0,None,None,0,8,2007,WD,Normal,122500
434,60,RL,10839,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,926,GasA,Ex,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,84,Fin,2,TA,TA,Y,0,36,0,0,0,0,0,None,None,0,7,2008,WD,Normal,181000
435,180,RM,1890,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,Gable,CompShg,CemntBd,CmentBd,0,TA,Gd,CBlock,Gd,TA,Av,ALQ,495,Unf,0,135,GasA,Gd,Y,SBrkr,630,0,0,630,1,0,1,0,1,1,TA,3,Typ,0,None,None,98,None,0,None,None,Y,88,0,0,0,0,0,0,None,None,0,6,2008,WD,Normal,81000
436,60,RL,10667,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,GLQ,385,ALQ,344,70,GasA,Ex,Y,SBrkr,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,83,RFn,2,TA,TA,Y,158,61,0,0,0,0,0,None,None,0,4,2009,ConLw,Normal,212000
437,50,RM,4400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,Gable,CompShg,Stucco,Stucco,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,648,GasA,TA,Y,FuseA,734,384,0,1118,0,0,1,0,2,1,TA,6,Typ,0,None,Detchd,77,Unf,2,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,10,2006,WD,Normal,116000
438,45,RM,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,Gable,CompShg,Wd Sdng,Wd Sdng,0,Gd,TA,PConc,TA,TA,No,Unf,0,Unf,0,884,GasA,Gd,Y,SBrkr,904,0,0,904,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,15,Unf,1,TA,TA,Y,0,0,105,0,0,0,0,None,None,0,1,2009,WD,Normal,119000
439,30,RL,4280,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,Gable,CompShg,WdShing,Stucco,0,TA,TA,PConc,TA,TA,No,LwQ,365,Unf,0,75,GasA,TA,N,SBrkr,694,0,0,694,0,0,1,0,2,1,Gd,4,Typ,1,Gd,Detchd,77,Unf,1,Gd,TA,P,0,0,34,0,0,0,0,MnPrv,None,0,3,2007,WD,Normal,90350
440,50,RL,12354,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,TA,Fa,Mn,Unf,0,Unf,0,684,GasA,Gd,Y,SBrkr,684,512,0,1196,0,0,1,0,3,1,Gd,7,Typ,0,None,Detchd,92,Unf,2,TA,TA,Y,0,46,0,0,0,0,0,GdPrv,Shed,800,8,2009,ConLI,Normal,110000
441,20,RL,15431,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,Hip,CompShg,VinylSd,VinylSd,200,Ex,TA,PConc,Ex,TA,Gd,GLQ,1767,ALQ,539,788,GasA,Ex,Y,SBrkr,2402,0,0,2402,1,0,2,0,2,1,Ex,10,Typ,2,Gd,Attchd,95,Fin,3,TA,TA,Y,0,72,0,0,170,0,0,None,None,0,4,2009,WD,Normal,555000
442,90,RL,12108,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,Gable,CompShg,VinylSd,VinylSd,270,TA,TA,CBlock,TA,TA,No,ALQ,133,Unf,0,1307,GasA,TA,N,FuseF,1440,0,0,1440,0,0,2,0,4,2,Fa,8,Typ,0,None,None,98,None,0,None,None,Y,0,0,0,0,0,0,0,None,None,0,9,2008,WD,Normal,118000
443,50,RM,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,1078,GasA,TA,Y,SBrkr,1128,445,0,1573,0,0,2,0,3,1,TA,8,Typ,1,Gd,Detchd,19,Unf,2,TA,TA,P,0,0,0,0,0,0,0,None,None,0,6,2008,WD,Normal,162900
444,120,RL,3922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,Gable,CompShg,WdShing,Wd Shng,72,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1258,GasA,Ex,Y,SBrkr,1258,0,0,1258,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,94,Fin,3,TA,TA,Y,144,16,0,0,0,0,0,None,None,0,6,2007,New,Partial,172500
446,20,RL,9855,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,Hip,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1436,GasA,Fa,Y,SBrkr,1689,0,0,1689,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,43,Unf,2,TA,TA,Y,0,0,0,0,0,0,0,MnPrv,None,0,11,2009,COD,Normal,127500
447,20,RL,16492,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,Gable,CompShg,BrkFace,Plywood,0,Gd,TA,CBlock,TA,TA,No,ALQ,247,Rec,713,557,GasA,Ex,Y,SBrkr,1888,0,0,1888,0,0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,53,Fin,2,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,6,2010,WD,Normal,190000
448,60,RL,11214,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,930,GasA,Gd,Y,SBrkr,956,930,0,1886,0,0,2,1,4,1,Gd,10,Typ,1,TA,Attchd,85,Fin,2,TA,TA,Y,89,0,0,0,0,0,0,None,None,0,7,2006,WD,Normal,199900
449,50,RM,8600,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,780,GasA,TA,Y,SBrkr,780,596,0,1376,0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,26,Unf,1,TA,TA,N,0,0,0,0,0,0,0,None,None,0,6,2006,WD,Normal,119500
451,30,RM,5684,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,Hip,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,813,GasA,Ex,Y,FuseA,813,0,0,813,0,0,1,0,2,1,Gd,5,Typ,0,None,Detchd,21,Unf,1,Fa,Fa,N,0,113,0,0,0,0,0,None,None,0,6,2006,WD,Normal,110000
452,20,RL,70761,Pave,None,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,Gable,WdShngl,Plywood,Plywood,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,655,Unf,0,878,GasA,TA,Y,SBrkr,1533,0,0,1533,1,0,2,0,2,1,Gd,5,Typ,2,TA,Attchd,62,Unf,2,TA,TA,Y,200,54,0,0,0,0,0,None,None,0,12,2006,WD,Normal,280000
453,60,RL,9303,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,Hip,CompShg,VinylSd,VinylSd,42,Gd,TA,PConc,Ex,TA,No,ALQ,742,Unf,0,130,GasA,Ex,Y,SBrkr,888,868,0,1756,1,0,2,1,3,1,TA,7,Typ,0,None,Attchd,83,Fin,2,TA,TA,Y,144,122,0,0,0,0,0,None,None,0,7,2007,WD,Normal,204000
454,60,FV,9000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,768,GasA,Ex,Y,SBrkr,786,804,0,1590,0,0,2,1,3,1,Gd,6,Typ,0,None,Attchd,95,RFn,2,TA,TA,Y,0,30,0,0,0,0,0,None,None,0,6,2009,WD,Normal,210000
457,70,RM,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,Gable,CompShg,AsbShng,AsbShng,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,624,GasA,Fa,N,SBrkr,624,720,0,1344,0,0,1,0,4,1,TA,7,Typ,0,None,Detchd,7,Unf,3,Fa,Fa,Y,0,0,96,0,0,0,0,None,None,0,5,2008,COD,Abnorml,98000
458,20,RL,53227,Pave,None,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,Flat,Tar&Grv,Plywood,Plywood,0,TA,TA,CBlock,Gd,TA,Gd,BLQ,1116,Unf,0,248,GasA,Ex,Y,SBrkr,1663,0,0,1663,1,0,1,0,2,1,Gd,6,Min1,2,Gd,Attchd,41,Fin,2,TA,TA,Y,224,137,0,0,0,0,0,None,None,0,3,2008,WD,Normal,256000
459,70,RM,5100,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,Hip,CompShg,Stucco,Wd Shng,0,TA,Gd,PConc,TA,TA,No,Unf,0,Unf,0,588,GasA,Fa,Y,SBrkr,833,833,0,1666,0,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,14,Unf,1,TA,TA,Y,192,63,0,0,0,0,0,MnPrv,None,0,6,2008,WD,Normal,161000
461,60,FV,8004,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,Gable,CompShg,VinylSd,VinylSd,110,Gd,TA,PConc,Gd,TA,No,GLQ,544,Unf,0,288,GasA,Ex,Y,SBrkr,832,1103,0,1935,1,0,2,1,3,1,TA,8,Typ,0,None,BuiltIn,96,Fin,2,TA,TA,Y,0,150,0,0,0,0,0,None,None,0,12,2009,New,Partial,263435
462,70,RL,7200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,Gable,CompShg,Wd Sdng,Wd Sdng,0,Gd,Gd,PConc,Gd,Gd,No,ALQ,350,BLQ,210,0,GasA,Ex,Y,SBrkr,575,560,0,1135,1,0,1,0,3,1,Gd,6,Typ,0,None,Detchd,58,RFn,2,TA,TA,Y,256,0,0,0,0,0,0,MnPrv,None,0,4,2009,WD,Normal,155000
463,20,RL,8281,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,Rec,553,BLQ,311,0,GasA,Gd,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,1,Po,Detchd,52,Unf,1,TA,TA,Y,0,0,236,0,0,0,0,GdWo,None,0,12,2009,WD,Normal,62383
464,70,RL,11988,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,Hip,CompShg,Stucco,Stucco,0,TA,TA,CBlock,TA,TA,No,LwQ,326,Unf,0,389,GasA,Fa,Y,FuseA,849,811,0,1660,0,0,1,1,3,1,TA,6,Typ,1,Gd,Detchd,28,Unf,1,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,8,2008,WD,Normal,188700
465,20,RL,8430,Pave,None,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,Gable,CompShg,HdBoard,HdBoard,136,TA,TA,CBlock,Gd,TA,No,Rec,616,Unf,0,424,GasA,TA,Y,SBrkr,1040,0,0,1040,0,0,2,0,3,1,TA,5,Typ,0,None,None,98,None,0,None,None,Y,0,0,0,0,0,0,0,None,None,0,8,2009,WD,Normal,124000
466,120,RM,3072,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,Hip,CompShg,VinylSd,VinylSd,18,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1375,GasA,Ex,Y,SBrkr,1414,0,0,1414,0,0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,91,Fin,2,TA,TA,Y,144,20,0,0,0,0,0,None,None,0,5,2006,WD,Normal,178740
467,20,RL,10628,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,Flat,Tar&Grv,Plywood,Plywood,0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778,Unf,0,499,GasA,TA,Y,SBrkr,1277,0,0,1277,1,0,1,0,2,1,TA,5,Typ,1,Po,Attchd,57,Unf,2,TA,TA,Y,0,0,0,0,176,0,0,GdWo,None,0,4,2007,WD,Normal,167000
468,70,RL,9480,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,2Story,5,7,1942,Gable,CompShg,MetalSd,MetalSd,224,TA,TA,CBlock,TA,TA,No,LwQ,386,Unf,0,342,GasA,Ex,Y,SBrkr,888,756,0,1644,0,0,1,1,3,1,Gd,7,Typ,2,Gd,Attchd,31,Unf,1,TA,TA,Y,168,0,0,0,0,0,0,None,None,0,6,2007,WD,Normal,146500
469,20,RL,11428,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,248,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1626,GasA,Ex,Y,SBrkr,1634,0,0,1634,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,93,RFn,3,TA,TA,Y,0,44,0,0,0,0,0,None,None,0,5,2007,WD,Normal,250000
471,120,RL,6820,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,Gable,CompShg,HdBoard,HdBoard,0,Gd,TA,PConc,Gd,TA,Av,GLQ,368,BLQ,1120,0,GasA,TA,Y,SBrkr,1502,0,0,1502,1,0,1,1,1,1,Gd,4,Typ,0,None,Attchd,72,RFn,2,TA,TA,Y,0,54,0,0,140,0,0,None,None,0,6,2010,WD,Normal,212000
472,60,RL,11952,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,6,1977,Mansard,WdShake,WdShing,Plywood,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,808,GasA,TA,Y,SBrkr,1161,808,0,1969,0,0,2,1,3,1,TA,8,Typ,1,Gd,Attchd,64,RFn,2,TA,TA,Y,0,0,0,0,276,0,0,None,None,0,11,2007,WD,Normal,190000
473,180,RM,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SLvl,6,5,2005,Gable,CompShg,VinylSd,VinylSd,80,TA,TA,PConc,Gd,TA,Gd,GLQ,459,Unf,0,88,GasA,Ex,Y,SBrkr,1072,0,0,1072,1,0,1,0,2,1,TA,5,Typ,0,None,Basment,92,RFn,2,TA,TA,Y,0,28,0,0,0,0,0,None,None,0,6,2008,WD,Normal,148000
474,20,RL,14977,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,304,Gd,TA,PConc,Ex,TA,Gd,GLQ,1350,Unf,0,626,GasA,Ex,Y,SBrkr,1976,0,0,1976,1,0,2,0,2,1,Gd,7,Typ,1,Ex,Attchd,93,RFn,3,TA,TA,Y,250,63,0,0,0,0,0,None,None,0,7,2007,New,Partial,440000
475,120,RL,5330,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,Gable,CompShg,CemntBd,CmentBd,0,Gd,TA,PConc,Gd,TA,Av,GLQ,1196,Unf,0,298,GasA,Ex,Y,SBrkr,1652,0,0,1652,1,0,2,0,2,1,Ex,6,Typ,0,None,Attchd,87,RFn,2,TA,TA,Y,96,48,0,0,0,0,0,None,None,0,8,2007,WD,Normal,251000
478,60,RL,13693,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,Hip,CompShg,VinylSd,VinylSd,772,Ex,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,2153,GasA,Ex,Y,SBrkr,2069,574,0,2643,0,0,2,1,3,1,Ex,9,Typ,1,Gd,BuiltIn,93,Fin,3,TA,TA,Y,414,84,0,0,0,0,0,None,None,0,3,2007,WD,Normal,380000
479,20,RL,10637,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,VinylSd,336,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288,Unf,0,417,GasA,Ex,Y,SBrkr,1718,0,0,1718,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,94,RFn,3,TA,TA,Y,208,44,0,0,0,0,0,None,None,0,9,2009,WD,Normal,297000
480,30,RM,5925,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1937,Hip,CompShg,Stucco,Stucco,435,TA,TA,BrkTil,Fa,TA,No,Rec,168,Unf,0,739,GasA,TA,Y,SBrkr,1131,0,0,1131,0,0,1,0,2,1,TA,7,Typ,0,None,Detchd,82,Unf,2,TA,TA,Y,0,72,0,0,0,0,0,MnPrv,None,0,3,2007,WD,Alloca,89471
481,20,RL,16033,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2004,Hip,CompShg,VinylSd,VinylSd,378,Gd,TA,PConc,Ex,TA,Gd,GLQ,1261,Unf,0,572,GasA,Ex,Y,SBrkr,1850,0,0,1850,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,91,Fin,3,TA,TA,Y,519,112,0,0,0,0,0,None,None,0,3,2006,WD,Normal,326000
482,20,RL,11846,Pave,None,IR1,HLS,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,Hip,CompShg,VinylSd,VinylSd,562,Gd,TA,PConc,Ex,TA,Gd,GLQ,1567,Unf,0,225,GasA,Ex,Y,SBrkr,1792,0,0,1792,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,90,Fin,3,TA,TA,Y,206,49,0,0,0,0,0,None,None,0,8,2006,WD,Normal,374000
483,70,RM,2500,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,Gable,CompShg,Stucco,Stucco,0,Gd,TA,PConc,TA,TA,No,ALQ,299,Unf,0,611,GasA,Ex,Y,SBrkr,916,910,0,1826,1,0,1,1,4,1,Ex,7,Min2,1,Gd,Attchd,6,Unf,1,Fa,Fa,Y,0,0,0,0,0,0,0,None,None,0,6,2009,WD,Normal,155000
484,120,RM,4500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,6,5,1998,Hip,CompShg,VinylSd,VinylSd,116,TA,TA,PConc,Ex,TA,No,GLQ,897,Unf,0,319,GasA,Ex,Y,SBrkr,1216,0,0,1216,1,0,2,0,2,1,TA,5,Typ,0,None,Attchd,85,Unf,2,TA,TA,Y,0,125,0,0,0,0,0,None,None,0,5,2006,WD,Normal,164000
486,20,RL,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1950,Gable,CompShg,MetalSd,MetalSd,0,Gd,TA,CBlock,TA,TA,No,ALQ,607,Unf,0,506,GasA,Gd,Y,SBrkr,1113,0,0,1113,0,0,1,0,3,1,Gd,5,Typ,1,Gd,Attchd,37,Unf,1,TA,TA,Y,0,80,120,0,0,0,0,None,None,0,7,2009,WD,Normal,147000
487,20,RL,10289,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1965,Hip,CompShg,MetalSd,MetalSd,168,TA,TA,CBlock,TA,TA,No,ALQ,836,Unf,0,237,GasA,TA,Y,SBrkr,1073,0,0,1073,1,0,1,1,3,1,TA,6,Typ,0,None,Attchd,52,RFn,2,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,6,2007,WD,Normal,156000
